update,environment_steps,episodes_completed,success_rate,evaluation_success_rate,evaluation_mean_minimum_distance,actor_loss,critic_loss,entropy,elapsed_seconds
52,53248,8,0.0,nan,nan,-0.0109991840145085,0.3107547555118799,3.3075439371168613,10.456441499991342
53,54272,9,0.1111111111111111,nan,nan,-0.011099937059043441,0.7782925902865827,3.302952565252781,10.623992332999478
54,55296,9,0.1111111111111111,nan,nan,-0.012474869028665125,0.872074680402875,3.3034335784614086,10.791594291993533
55,56320,9,0.3333333333333333,0.0,0.017491720366237203,-0.011931427041417919,1.1655263360589743,3.2955865412950516,11.216310791991418
56,57344,9,0.2222222222222222,nan,nan,-0.011393398905056529,1.1668924521654844,3.2743660286068916,11.383535291999578
57,58368,8,0.0,nan,nan,-0.014481890189927071,0.5138826505281031,3.261010956019163,11.551422124990495
58,59392,9,0.0,nan,nan,-0.020791093644220382,0.5010033578146249,3.2606720067560673,11.718995292001637
59,60416,9,0.1111111111111111,nan,nan,-0.011700731141900178,1.0109514717478305,3.251586176455021,11.88631849999365
60,61440,8,0.0,0.0,0.019007749667177436,-0.006522598065203056,0.6872771657072008,3.2365663573145866,12.304707707997295
61,62464,9,0.1111111111111111,nan,nan,-0.00665493645647075,1.1360191558487713,3.2323285304009914,12.474291457998333
62,63488,8,0.0,nan,nan,-0.018689333330257796,0.24354296457022429,3.2298977561295033,12.643619291993673
63,64512,9,0.0,nan,nan,-0.014226095576304942,0.1348556934390217,3.223901681602001,12.81212258299638
64,65536,9,0.0,nan,nan,-0.01612748031038791,0.3647295217961073,3.2109056934714317,12.98561587498989
65,66560,8,0.125,0.0,0.016956000643384043,-0.006343038854538463,1.326266991905868,3.2022575177252293,13.404798957999446
66,67584,9,0.1111111111111111,nan,nan,-0.003982653273851611,1.3633275581523776,3.2052501887083054,13.60252912499709
67,68608,11,0.2727272727272727,nan,nan,-0.01381705395760946,3.759758895263076,3.2121827006340027,13.774694791994989
68,69632,9,0.2222222222222222,nan,nan,-0.012354713784588967,2.513301898725331,3.220543786883354,13.942939666987513
69,70656,9,0.1111111111111111,nan,nan,-0.008159413293469697,1.36185934394598,3.2290427647531033,14.111154207988875
70,71680,8,0.0,0.0,0.008130678984077919,-0.003427808071137406,0.24914147809613496,3.2302967458963394,14.532197624997934
71,72704,9,0.0,nan,nan,-0.012108878916478716,0.49675490567460656,3.223322331905365,14.700790124988998
72,73728,9,0.1111111111111111,nan,nan,-0.00609805500425864,3.275606421753764,3.2263798750936985,14.86950595799135
73,74752,8,0.125,nan,nan,-0.006696271608234383,1.6760954670608044,3.2370201274752617,15.039453207995393
